ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEP_REPAY_STATUS,AUG_REPAY_STATUS,JUL_REPAY_STATUS,JUN_REPAY_STATUS,MAY_REPAY_STATUS,APR_REPAY_STATUS,SEP_BILL_AMT,AUG_BILL_AMT,JUL_BILL_AMT,JUN_BILL_AMT,MAY_BILL_AMT,APR_BILL_AMT,SEP_PAY_AMT,AUG_PAY_AMT,JUL_PAY_AMT,JUN_PAY_AMT,MAY_PAY_AMT,APR_PAY_AMT,default.payment.next.month,AGE_GROUP,EDUCATION_LEVEL,MARRIAGE_DESC,LIMIT_BIN,PAY_RATIO_SEP,PAY_RATIO_AUG,PAY_RATIO_JUL,PAY_RATIO_JUN,PAY_RATIO_MAY,UTIL_SEP,UTIL_AUG,UTIL_JUL,UTIL_JUN,UTIL_MAY,UTIL_APR,UTIL_AVG,UTIL_MAX,UTIL_MIN,UTIL_STD,MONTHS_NO_PAYMENT,BILL_GROWTH_RATIO,UTIL_TREND,PAY_TREND
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,Youth,University,Married,Q1,0.0,1.0,,,,0.19565,0.1551,0.03445,0.0,0.0,0.0,0.0642,0.19565,0.0,0.08808166097434811,3,,0.19565,
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,Adults,University,Single,Q3,0.0,0.37285607755406414,0.3056234718826406,0.2894356005788712,0.0,0.02235,0.014375,0.02235,0.027266666666666668,0.028791666666666667,0.027175,0.023718055555555558,0.028791666666666667,0.014375,0.005316398678373116,0,0.8224471021159153,-0.004825000000000003,0.0
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,Adults,University,Single,Q2,0.10821986169530191,0.1106276274061509,0.06977880120019538,0.0668985817500669,0.06431281754453663,0.32487777777777777,0.15585555555555555,0.15065555555555554,0.15923333333333334,0.1660888888888889,0.17276666666666668,0.1882462962962963,0.32487777777777777,0.15065555555555554,0.06738353992389311,0,1.8804424721847064,0.15211111111111109,0.04390704415076528
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,Adults,University,Married,Q1,0.041465386768395084,0.04096082449128644,0.04238186056367874,0.03798473704202493,0.03617964598774833,0.9398,0.96466,0.98582,0.56628,0.57918,0.59094,0.7711133333333332,0.98582,0.56628,0.21131587036156718,0,1.590347581818797,0.34885999999999995,0.005285740780646753
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,Adults,University,Married,Q1,0.3527336860670194,1.0236082042695689,0.4775549188156638,0.4700720777185835,0.03601484501594271,0.17234,0.1134,0.7167,0.4188,0.38292,0.38262,0.36446333333333336,0.7167,0.1134,0.21337180147963944,0,0.4504207830223198,-0.21028000000000002,0.31671884105107667
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,Adults,Graduate School,Single,Q1,0.043806620056422926,0.031506040827662826,0.03387645663607301,0.05097099750242112,0.04994007191370355,1.288,1.14138,1.15216,0.38788,0.39238,0.40048,0.7937133333333334,1.288,0.38788,0.4413789814056246,0,3.216140631242509,0.8875200000000001,-0.0061334518572806265
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,Adults,Graduate School,Single,Q5,0.13348769364817012,0.08988622650879649,0.07002633358702523,0.04190243124783904,0.029011866380838244,0.73593,0.824046,0.890014,1.085306,0.966006,0.947888,0.9081983333333333,1.085306,0.73593,0.12113858626493326,0,0.7763891936600105,-0.21195799999999998,0.10447582726733187
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,Youth,University,Single,Q2,1.0,1.0,0.0,,2.0,0.11876,0.0038,0.00601,0.00221,-0.00159,0.00567,0.022476666666666662,0.11876,-0.00159,0.04725009107574997,0,20.94532627865961,0.11309000000000001,-1.0
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,Adults,High School,Married,Q3,0.23616628830874006,0.0,0.035377937924821884,0.08479606546256253,0.26888948642108096,0.08060714285714286,0.10068571428571428,0.08648571428571429,0.08722142857142857,0.08423571428571429,0.026564285714285714,0.07763333333333333,0.10068571428571428,0.026564285714285714,0.025931413723263814,0,3.0344178542618985,0.05404285714285715,-0.032723198112340895
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,Adults,High School,Single,Q1,,,,1.0,0.08064979873490512,0.0,0.0,0.0,0.0,0.65035,0.6956,0.224325,0.6956,0.0,0.3478172648820067,4,0.0,-0.6956,
11,200000.0,2,3,2,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0,0,Adults,High School,Single,Q4,0.2356186778379483,0.002168021680216802,0.019896538002387585,0.16411378555798686,1.00187617260788,0.055365,0.048935,0.027675,0.012565,0.00914,0.018655,0.0287225,0.055365,0.00914,0.0193150660754759,0,2.9678370410077726,0.03670999999999999,-0.7662574947699317
12,260000.0,2,1,2,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0,Adults,Graduate School,Single,Q4,1.0068297185048454,1.0,1.0077492074674181,1.0006281688876923,0.0,0.04715769230769231,0.08334615384615385,0.03833076923076923,0.03275769230769231,0.08571923076923077,0.05256923076923077,0.056646794871794866,0.08571923076923077,0.03275769230769231,0.022675528270519742,0,0.8970588235294118,-0.005411538461538461,1.0068297185048454
13,630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0,Adults,University,Single,Q5,0.15384615384615385,1.0,1.0,1.0,1.0,0.019265079365079363,0.010317460317460317,0.010317460317460317,0.010317460317460317,0.010317460317460317,0.004555555555555556,0.010848412698412697,0.019265079365079363,0.004555555555555556,0.00472372671778421,0,4.228919860627178,0.014709523809523808,-0.8461538461538461
14,70000.0,1,2,2,30,1,2,2,0,0,2,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1,Adults,University,Single,Q2,0.04749959180038296,0.0,0.04492228444790512,0.08301740598278773,0.04065701740120345,0.9400285714285714,0.9624142857142857,0.9385857142857142,0.9540285714285714,0.5162428571428571,0.5270571428571429,0.8063928571428572,0.9624142857142857,0.5162428571428571,0.22076589849606645,0,1.7835420393559929,0.41297142857142854,0.006842574399179513
15,250000.0,1,1,2,29,0,0,0,0,0,0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,Adults,Graduate School,Single,Q4,0.044736057262153295,0.04719875395289564,0.05025462342535513,0.05274725274725275,0.054042369217466496,0.283548,0.26824,0.254244,0.238784,0.2275,0.222048,0.24906066666666668,0.283548,0.222048,0.024017686471986988,0,1.2769671422395157,0.06150000000000003,-0.009306311955313201
16,50000.0,2,3,3,23,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0,Youth,High School,Others,Q1,0.0,0.05335040546308152,0.03823294289388621,0.040635264637160946,0.04303068418787859,1.01228,0.58346,0.56232,0.57542,0.59062,0.60422,0.6547200000000001,1.01228,0.56232,0.1757341464826913,0,1.6753500380656052,0.4080600000000001,-0.04303068418787859
17,20000.0,1,1,2,24,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500.0,0.0,1650.0,0.0,1,Youth,Graduate School,Single,Q1,0.1776790671848973,0.0,0.081797360671829,0.0,0.08636934673366835,0.7688,0.9005,0.8714,0.9169,0.89525,0.9552,0.884675,0.9552,0.7688,0.06321032945650576,0,0.804857621440536,-0.1864,0.09130972045122894
18,320000.0,1,1,1,49,0,0,0,-1,-1,-1,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0,Adults,Graduate School,Married,Q5,0.04201414803517539,0.051370830614960214,1.0837115049804493,2.0,1.0,0.79151875,0.770425,0.608321875,0.21898125,0.0183,0.611246875,0.5031322916666667,0.79151875,0.0183,0.3140604777339536,0,1.2949248206790422,0.18027187500000008,-0.9579858519648246
19,360000.0,2,1,1,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Adults,Graduate School,Married,Q5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,0.0,
20,180000.0,2,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Adults,Graduate School,Single,Q3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,0.0,
